date time elev
2007-10-01 2007.74794520548 326.489402347826
2007-10-02 2007.75068493151 326.4047955
2007-10-03 2007.75342465753 326.40247775
2007-10-04 2007.75616438356 326.2517605
2007-10-05 2007.75890410959 326.130666
2007-10-06 2007.76164383562 326.14523925
2007-10-07 2007.76438356164 326.17159175
2007-10-08 2007.76712328767 326.4126695
2007-10-09 2007.7698630137 326.29567075
2007-10-10 2007.77260273973 326.12961825
2007-10-11 2007.77534246575 326.0608795
2007-10-12 2007.77808219178 326.06681675
2007-10-13 2007.78082191781 326.06615
2007-10-14 2007.78356164384 326.11431475
2007-10-15 2007.78630136986 326.184895
2007-10-16 2007.78904109589 326.280145
2007-10-17 2007.79178082192 326.27369975
2007-10-18 2007.79452054795 326.29497225
2007-10-19 2007.79726027397 326.10809175
2007-10-20 2007.8 325.84517
2007-10-21 2007.80273972603 325.77535175
2007-10-22 2007.80547945205 325.7248375
2007-10-23 2007.80821917808 325.6336515
2007-10-24 2007.81095890411 325.5300195
2007-10-25 2007.81369863014 325.440802
2007-10-26 2007.81643835616 325.35593425
2007-10-27 2007.81917808219 325.29268825
2007-10-28 2007.82191780822 325.23630025
2007-10-29 2007.82465753425 325.198613
2007-10-30 2007.82739726027 325.167625
2007-10-31 2007.8301369863 325.148067
2007-11-01 2007.83287671233 325.117206
2007-11-02 2007.83561643836 325.09234575
2007-11-03 2007.83835616438 325.069454
2007-11-04 2007.84109589041 325.05508776
2007-11-05 2007.84383561644 325.03843425
2007-11-06 2007.84657534247 325.02065425
2007-11-07 2007.84931506849 325.00316
2007-11-08 2007.85205479452 325.00014375
2007-11-09 2007.85479452055 324.99277775
2007-11-10 2007.85753424658 324.98884075
2007-11-11 2007.8602739726 324.98369725
2007-11-12 2007.86301369863 324.98147475
2007-11-13 2007.86575342466 324.968108
2007-11-14 2007.86849315069 324.96515525
2007-11-15 2007.87123287671 324.947534
2007-11-16 2007.87397260274 324.9215625
2007-11-17 2007.87671232877 324.93880275
2007-11-18 2007.87945205479 324.93346875
2007-11-19 2007.88219178082 324.9271505
2007-11-20 2007.88493150685 324.923531
2007-11-21 2007.88767123288 324.9051795
2007-11-22 2007.8904109589 324.880351
2007-11-23 2007.89315068493 324.85218875
2007-11-24 2007.89589041096 324.84113975
2007-11-25 2007.89863013699 324.8293605
2007-11-26 2007.90136986301 324.83586925
2007-11-27 2007.90410958904 324.83542475
2007-11-28 2007.90684931507 324.798182
2007-11-29 2007.9095890411 324.7785605
2007-11-30 2007.91232876712 324.76313
2007-12-01 2007.91506849315 324.85358575
2007-12-02 2007.91780821918 325.02167025
2007-12-03 2007.92054794521 325.069327
2007-12-04 2007.92328767123 325.184897
2007-12-05 2007.92602739726 325.1147295
2007-12-06 2007.92876712329 324.92813475
2007-12-07 2007.93150684932 325.14181225
2007-12-08 2007.93424657534 325.43283275
2007-12-09 2007.93698630137 325.33091525
2007-12-10 2007.9397260274 325.33370925
2007-12-11 2007.94246575342 325.42203775
2007-12-12 2007.94520547945 325.452105
2007-12-13 2007.94794520548 325.4045435
2007-12-14 2007.95068493151 325.38330275
2007-12-15 2007.95342465753 325.26855825
2007-12-16 2007.95616438356 325.1913105
2007-12-17 2007.95890410959 325.121016
2007-12-18 2007.96164383562 325.161656
2007-12-19 2007.96438356164 325.1933425
2007-12-20 2007.96712328767 325.155179
2007-12-21 2007.9698630137 325.1599415
2007-12-22 2007.97260273973 325.17197475
2007-12-23 2007.97534246575 325.25585825
2007-12-24 2007.97808219178 325.2097255
2007-12-25 2007.98082191781 325.2724
2007-12-26 2007.98356164384 325.28779875
2007-12-27 2007.98630136986 325.13273175
2007-12-28 2007.98904109589 325.1138405
2007-12-29 2007.99178082192 325.16410075
2007-12-30 2007.99452054795 325.09672725
2007-12-31 2007.99726027397 325.2022325
2008-01-01 2008 325.377556
2008-01-02 2008.00273224044 325.230871
2008-01-03 2008.00546448087 325.3025625
2008-01-04 2008.00819672131 325.3561565
2008-01-05 2008.01092896175 325.3990825
2008-01-06 2008.01366120219 325.390797130435
2008-01-07 2008.01639344262 325.31558
2008-01-08 2008.01912568306 325.28316325
2008-01-09 2008.0218579235 325.14460625
2008-01-10 2008.02459016393 325.0331955
2008-01-11 2008.02732240437 324.96464725
2008-01-12 2008.03005464481 324.97633125
2008-01-13 2008.03278688525 324.98217325
2008-01-14 2008.03551912568 325.06561225
2008-01-15 2008.03825136612 325.112634
2008-01-16 2008.04098360656 325.2455395
2008-01-17 2008.04371584699 325.44096075
2008-01-18 2008.04644808743 325.42064075
2008-01-19 2008.04918032787 325.40451175
2008-01-20 2008.05191256831 325.378572
2008-01-21 2008.05464480874 325.41556075
2008-01-22 2008.05737704918 325.451597
2008-01-23 2008.06010928962 325.43403925
2008-01-24 2008.06284153005 325.4472155
2008-01-25 2008.06557377049 325.437881
2008-01-26 2008.06830601093 325.3948915
2008-01-27 2008.07103825137 325.46502725
2008-01-28 2008.0737704918 325.5203675
2008-01-29 2008.07650273224 325.37441275
2008-01-30 2008.07923497268 324.77427425
2008-01-31 2008.08196721311 324.77992575
2008-02-01 2008.08469945355 325.21197975
2008-02-02 2008.08743169399 325.5041115
2008-02-03 2008.09016393443 325.628
2008-02-04 2008.09289617486 325.54154475
2008-02-05 2008.0956284153 325.4531845
2008-02-06 2008.09836065574 325.315988608696
2008-02-07 2008.10109289617 325.143876
2008-02-08 2008.10382513661 325.33218525
2008-02-09 2008.10655737705 325.4694405
2008-02-10 2008.10928961749 325.47315525
2008-02-11 2008.11202185792 325.14359025
2008-02-12 2008.11475409836 325.140193
2008-02-13 2008.1174863388 325.118222
2008-02-14 2008.12021857923 325.48782375
2008-02-15 2008.12295081967 325.49341175
2008-02-16 2008.12568306011 325.32627975
2008-02-17 2008.12841530055 325.43194375
2008-02-18 2008.13114754098 325.4728695
2008-02-19 2008.13387978142 325.3778735
2008-02-20 2008.13661202186 325.207376
2008-02-21 2008.1393442623 325.2770355
2008-02-22 2008.14207650273 325.40692475
2008-02-23 2008.14480874317 325.5122395
2008-02-24 2008.14754098361 325.40448
2008-02-25 2008.15027322404 325.38162
2008-02-26 2008.15300546448 325.3647925
2008-02-27 2008.15573770492 325.217155
2008-02-28 2008.15846994536 325.24188825
2008-02-29 2008.16120218579 325.25592175
2008-03-01 2008.16393442623 325.4425165
2008-03-02 2008.16666666667 325.75211075
2008-03-03 2008.1693989071 325.61276
2008-03-04 2008.17213114754 325.36831675
2008-03-05 2008.17486338798 325.265796
2008-03-06 2008.17759562842 325.16384675
2008-03-07 2008.18032786885 325.06592975
2008-03-08 2008.18306010929 324.963917
2008-03-09 2008.18579234973 324.993762
2008-03-10 2008.18852459016 325.16105275
2008-03-11 2008.1912568306 325.179817
2008-03-12 2008.19398907104 325.30678525
2008-03-13 2008.19672131148 325.5804385
2008-03-14 2008.19945355191 325.714233
2008-03-15 2008.20218579235 325.78367025
2008-03-16 2008.20491803279 325.676514
2008-03-17 2008.20765027322 325.67337075
2008-03-18 2008.21038251366 325.639557
2008-03-19 2008.2131147541 325.5961865
2008-03-20 2008.21584699454 325.6407635
2008-03-21 2008.21857923497 325.71115325
2008-03-22 2008.22131147541 325.74753875
2008-03-23 2008.22404371585 325.754238
2008-03-24 2008.22677595628 325.6270475
2008-03-25 2008.22950819672 325.62307875
2008-03-26 2008.23224043716 325.77992375
2008-03-27 2008.2349726776 326.04065475
2008-03-28 2008.23770491803 326.260968
2008-03-29 2008.24043715847 326.1680675
2008-03-30 2008.24316939891 326.05843475
2008-03-31 2008.24590163934 326.02058875
2008-04-01 2008.24863387978 325.9762975
2008-04-02 2008.25136612022 325.9173695
2008-04-03 2008.25409836066 325.88850875
2008-04-04 2008.25683060109 325.662417
2008-04-05 2008.25956284153 325.6439385
2008-04-06 2008.26229508197 325.726298
2008-04-07 2008.2650273224 325.78430525
2008-04-08 2008.26775956284 325.76576325
2008-04-09 2008.27049180328 326.0295105
2008-04-10 2008.27322404372 326.2610315
2008-04-11 2008.27595628415 326.382952168421
2008-04-12 2008.27868852459 326.33548525
2008-04-13 2008.28142076503 326.17108375
2008-04-14 2008.28415300546 326.10961575
2008-04-15 2008.2868852459 326.05983175
2008-04-16 2008.28961748634 326.03894025
2008-04-17 2008.29234972678 326.0594825
2008-04-18 2008.29508196721 326.052307
2008-04-19 2008.29781420765 326.05100525
2008-04-20 2008.30054644809 326.0317965
2008-04-21 2008.30327868852 326.010905
2008-04-22 2008.30601092896 326.26614325
2008-04-23 2008.3087431694 326.42311525
2008-04-24 2008.31147540984 326.40927225
2008-04-25 2008.31420765027 326.49658475
2008-04-26 2008.31693989071 326.48604375
2008-04-27 2008.31967213115 326.32195975
2008-04-28 2008.32240437158 326.32545225
2008-04-29 2008.32513661202 326.3204675
2008-04-30 2008.32786885246 326.23642525
2008-05-01 2008.3306010929 326.184514
2008-05-02 2008.33333333333 326.0344635
2008-05-03 2008.33606557377 326.0009355
2008-05-04 2008.33879781421 325.96851875
2008-05-05 2008.34153005464 326.02852625
2008-05-06 2008.34426229508 326.03474925
2008-05-07 2008.34699453552 325.99874475
2008-05-08 2008.34972677596 325.93924525
2008-05-09 2008.35245901639 325.911337
2008-05-10 2008.35519125683 325.8189445
2008-05-11 2008.35792349727 325.79370325
2008-05-12 2008.3606557377 325.760969
2008-05-13 2008.36338797814 325.81815075
2008-05-14 2008.36612021858 325.90006575
2008-05-15 2008.36885245902 325.8842225
2008-05-16 2008.37158469945 325.86736325
2008-05-17 2008.37431693989 325.828914
2008-05-18 2008.37704918033 325.797926
2008-05-19 2008.37978142077 325.75890525
2008-05-20 2008.3825136612 325.7568415
